property_phys_chem_id,property_phys_chem_label,property_phys_chem_url
91,pHH2O_ratio1-2.5,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv
203,EC_ratio1_5,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv
228,OrgC_wc_cro3_walkleyblack,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv
6,TotalN_kjeldahl-nh4,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv
278,Extr_ap21,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv
314,ExchBases_ph7-nh4oac-K,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv
315,ExchBases_ph7-nh4oac-Ca,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv
316,ExchBases_ph7-nh4oac-Mg,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv
317,ExchBases_ph7-nh4oac-Na,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv
311,SaSiCl_2-50-2000u-disp-clay,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv
312,SaSiCl_2-50-2000u-disp-silt,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv
313,SaSiCl_2-50-2000u-disp-sand,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv
123,CEC_ph7-nh4oac,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv
115,BlkDensW_we-co-unk,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv
318,AggStab-sieve,https://repository.cimmyt.org/bitstream/handle/10883/3389/98401.pdf?sequence=1&isAllowed=y
299,Extr_m3-Fe,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv
300,Extr_m3-Cu,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv
301,Extr_m3-Zn,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv
302,Extr_m3-Mn,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv
303,Extr_m3-B,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv
304,Extr_m3-As,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv
305,Extr_m3-Pb,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv
306,Extr_m3-Al,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv
307,Extr_m3-Cd,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv
308,Extr_m3-Cr,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv
309,Extr_m3-Co,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv
310,Extr_m3-Ni,https://github.com/glosis-ld/glosis/blob/master/csv_codelists/glosis_procedure.csv
